year,mean
1961,26.58917808219178
1962,26.572876712328767
1963,26.85958904109589
1964,26.359426229508195
1965,26.4986301369863
1966,26.96301369863014
1967,26.48205479452055
1968,26.714754098360658
1969,27.063698630136987
1970,26.96958904109589
1971,26.622191780821918
1972,27.07691256830601
1973,27.485479452054797
1974,26.843013698630138
1975,26.617534246575342
1976,26.56926229508197
1977,27.15
1978,27.01986301369863
1979,27.299589041095892
1980,27.008743169398908
1981,27.3172602739726
1982,26.135068493150683
1983,27.438356164383563
1984,27.620765027322406
1985,27.263835616438353
1986,27.155890410958904
1987,27.964246575342468
1988,27.36693989071038
1989,27.30767123287671
1990,27.465753424657535
1991,27.262465753424657
1992,27.195081967213113
1993,27.37123287671233
1994,27.33945205479452
1995,27.666301369863017
1996,27.432377049180328
1997,27.353150684931506
1998,28.204246575342463
1999,27.538904109589044
2000,27.599453551912568
2001,27.44739726027397
2002,27.586575342465753
2003,27.75123287671233
2004,27.787841530054646
2005,27.743972602739724
2006,27.90123287671233
2007,27.748356164383562
2008,27.79535519125683
2009,27.924246575342465
2010,28.266986301369865
2011,27.02931506849315
2012,27.34685792349727
2013,27.945452054794522
2014,27.77
2015,27.97071232876712
2016,28.419672131147543
2017,28.024931506849317
2018,26.905863013698628
2019,27.1813698630137
2020,27.26379781420765